"Flashes","Pwr (Ws)","WL QCS","Battery","TTL","HSS","Modelling Lamp (mW)","Modelling Lamp Type","Min Pwr (1/n)","Max Recycle Time (ms)","Min Recycle Time (ms)","CHs","Grps","ID","FW Up","Status"
"Q6","600","Yes","1x ?","Yes","Yes","30000","LED COB","512","900","10","32","5","Yes","Yes",""
"Q4","400","Yes","1x NB-Q4","Yes","Yes","30000","LED COB","256","1200","10","32","5","Yes","Yes",""
"Q3","200","Yes","1x Q3","Yes","Yes","0","","128","1800","10","32","5","Yes","Yes",""
"Q300","300","Yes","1x Q4","No","No","13000","LED COB","64","2500","400","32","5","No","No",""
"Q200","200","Yes","1x ?","No","No","10000","LED","256","1500","10","32","5","Yes","Yes",""
"Vision 4","300","No","1x Q4","No","No","13000","LED COB","64","2500","400","16","0","No","No",""
"ML300","300","No","1x Q4","No","No","13000","LED COB","64","2500","400","16","0","No","No",""
